# id: GB/NERC/BAS/PDC/02058
# title: A compilation of metabolic rate, body mass and body temperature (where available) data for a range of vertebrate and invertebrate species
# summary: Data on the resting metabolic rate, body mass and body temperature data for a range of vertebrate and invertebrate taxa culled from the literature for a comprehensive study of scaling relationships.
# : The data are global in extent.
# : Funding acknowledgement: 
# : BAS Core Funding
# keywords: mass,metabolic rate,scaling,temperature
# citation: Clarke, A., & Johnston, N.M. (2025). A compilation of metabolic rate, body mass and body temperature (where available) data for a range of vertebrate and invertebrate species (Version 1.0) [Data set]. NERC EDS UK Polar Data Centre. https://doi.org/10.5285/8d9ffd4a-16c0-4d48-9fc9-02988676ef78
# license: http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/
# history: Data for mammals, birds, reptiles, echinoderms, cephalopods and cnidarians were from previous compilations available in the published scientific literature.  Data for fish were compiled from published studies, validated and collated.
# comment: With the exception of the data for teleost fish, data were extracted from the literature, relying on quality control by the original compiler.  The fish data were edited to exclude data where fish were active, or where the range of body mass was too small for scaling parameters to be determined with precision.
# : The data have not been processed other than converting original units to SI where appropriate. For publication the data were analysed using Minitab (version 16) and R (version 4.4.2).
# institution: British Antarctic Survey
# authors: Andrew Clarke,Nadine M. Johnston
# publisher_name: NERC EDS UK Polar Data Centre
# publisher_type: institution
# publisher_email: pdc@bas.ac.uk
# publisher_url: https://www.bas.ac.uk/data/uk-pdc/
# [a]: unique number for each data record
# [b]: live body mass (g)
# [c]: body temperature (Celsius)
# [d]: metabolic rate
# [e]: metabolic rate units (W or mW)
# [f]: score indicating which data were used when there are more than one record for a species (1 = used, 0 = not used)
# missing values:*
Ref [a],Phylum,Class,Species,Mb [b],Tb [c],MR [d],Unit (MR) [e],Usage [f]
1303,Mollusca,Cephalopoda,Lolliguncula brevis,20,*,15.86511111,mW,0
1304,Mollusca,Cephalopoda,Lolliguncula brevis,27.7,*,19.23488,mW,0
1305,Mollusca,Cephalopoda,Lolliguncula brevis,30,*,21.62766667,mW,0
1306,Mollusca,Cephalopoda,Lolliguncula brevis,30,*,23.36366667,mW,1
1307,Mollusca,Cephalopoda,Lolliguncula brevis,32,*,26.31004444,mW,0
1308,Mollusca,Cephalopoda,Lolliguncula brevis,40,*,27.72777778,mW,0
1309,Mollusca,Cephalopoda,Lolliguncula brevis,40,*,25.99177778,mW,0
1310,Mollusca,Cephalopoda,Lolliguncula brevis,40,*,31.73022222,mW,0
1311,Mollusca,Cephalopoda,Lolliguncula brevis,41.1,*,19.12565667,mW,0
1312,Mollusca,Cephalopoda,Megalocranchia sp.,47.9,*,2.252098333,mW,1
1313,Mollusca,Cephalopoda,Octopus bimaculoides,360,*,24.738,mW,1
1314,Mollusca,Cephalopoda,Octopus briareus,345.5,*,27.19871972,mW,1
1315,Mollusca,Cephalopoda,Octopus californicus,330,*,15.5155,mW,1
1316,Mollusca,Cephalopoda,Octopus cyanea,1150,*,137.2525,mW,1
1317,Mollusca,Cephalopoda,Octopus dofleini,8200,*,296.5666667,mW,1
1318,Mollusca,Cephalopoda,Octopus maya,45.1,*,13.32078611,mW,1
1319,Mollusca,Cephalopoda,Octopus micropyrsus,4.65,*,0.9249625,mW,1
1320,Mollusca,Cephalopoda,Octopus rubescens,0.096,*,0.085642667,mW,1
1321,Mollusca,Cephalopoda,Octopus sp.,0.0012,*,0.001938533,mW,0
1322,Mollusca,Cephalopoda,Octopus sp.,0.0068,*,0.016682478,mW,0
1323,Mollusca,Cephalopoda,Octopus vulgaris,2160,*,98.952,mW,1
1324,Mollusca,Cephalopoda,Ocythoe tuberculata,1.21,*,0.608287167,mW,1
1325,Mollusca,Cephalopoda,Paraledone characoti,136.7,*,7.415975,mW,1
1326,Mollusca,Cephalopoda,Sepioteuthis lessoniana,0.05,*,0.052562222,mW,0
1327,Mollusca,Cephalopoda,Sepioteuthis lessoniana,0.19,*,0.197216833,mW,0
1328,Mollusca,Cephalopoda,Sepioteuthis lessoniana,0.43,*,0.454108667,mW,0
1329,Mollusca,Cephalopoda,Sepioteuthis lessoniana,0.48,*,0.493024,mW,0
1330,Mollusca,Cephalopoda,Sepioteuthis lessoniana,1.53,*,1.5545446,mW,1
1331,Mollusca,Cephalopoda,Sepioteuthis lessoniana,3.6,*,3.61956,mW,0
1332,Mollusca,Cephalopoda,Sepioteuthis lessoniana,68.5,*,23.70061944,mW,0
1333,Mollusca,Cephalopoda,Sthenoteuthis oualaniensis,22,*,13.89764444,mW,0
1334,Mollusca,Cephalopoda,Sthenoteuthis oualaniensis,750,*,217.9041667,mW,1
1335,Mollusca,Cephalopoda,Sthenoteuthis pteropus,6,*,4.217033333,mW,0
1336,Mollusca,Cephalopoda,Sthenoteuthis pteropus,1300,*,454.4944444,mW,1
1337,Mollusca,Cephalopoda,Vampyroteuthis infernalis,0.41,*,0.020265389,mW,0
1338,Mollusca,Cephalopoda,Vampyroteuthis infernalis,0.5,*,0.006630556,mW,0
1339,Mollusca,Cephalopoda,Vampyroteuthis infernalis,4.74,*,0.045714667,mW,0
1340,Mollusca,Cephalopoda,Vampyroteuthis infernalis,4.74,*,0.177144333,mW,0
1341,Mollusca,Cephalopoda,Vampyroteuthis infernalis,7.32,*,0.057360333,mW,0
1342,Mollusca,Cephalopoda,Vampyroteuthis infernalis,15.9,*,0.1437625,mW,0
1343,Mollusca,Cephalopoda,Vampyroteuthis infernalis,30,*,0.27125,mW,0
1344,Mollusca,Cephalopoda,Vampyroteuthis infernalis,83.7,*,0.80724,mW,0
1345,Mollusca,Cephalopoda,Vampyroteuthis infernalis,87.1,*,0.367513611,mW,0
1346,Mollusca,Cephalopoda,Vampyroteuthis infernalis,100,*,0.385777778,mW,0
1347,Mollusca,Cephalopoda,Vampyroteuthis infernalis,130.6,*,0.440847556,mW,0
1348,Mollusca,Cephalopoda,Vampyroteuthis infernalis,180,*,0.5859,mW,0
1349,Mollusca,Cephalopoda,Vampyroteuthis infernalis,185.2,*,0.982383111,mW,1
1350,Mollusca,Cephalopoda,Vampyroteuthis infernalis,225,*,0.895125,mW,0
1351,Mollusca,Cephalopoda,Vampyroteuthis infernalis,425,*,2.459333333,mW,0
1352,Mollusca,Cephalopoda,Vampyroteuthis infernalis,425,*,2.817986111,mW,0
1353,Mollusca,Cephalopoda,Vampyroteuthis infernalis,510,*,1.8445,mW,0
1354,Mollusca,Cephalopoda,Vampyroteuthis infernalis,1050,*,3.164583333,mW,0
1355,Cnidaria,Hydrozoa,Aeginura grimaldii,1.75,*,0.257020361,mW,1
1356,Cnidaria,Hydrozoa,Aequorea victoria,7,*,0.171905556,mW,1
1357,Cnidaria,Hydrozoa,Aglantha digitale,2.98,*,0.012232778,mW,1
1358,Cnidaria,Hydrozoa,Aglantha digitale,0.128,*,0.03007,mW,1
1359,Cnidaria,Hydrozoa,Botrynema brucei,1.33,*,0.022902778,mW,1
1360,Cnidaria,Hydrozoa,Bougainvillia muscus,0.0209,*,0.007867778,mW,1
1361,Cnidaria,Hydrozoa,Clytia hemisphaerica,0.0258,*,0.005324222,mW,1
1362,Cnidaria,Hydrozoa,Colobonema sericeum,13.71,*,0.350716272,mW,1
1363,Cnidaria,Hydrozoa,Colobonema sericeum,5.858,*,0.14595913,mW,1
1364,Cnidaria,Hydrozoa,Crossota sp. A,0.13655,*,0.002821553,mW,1
1365,Cnidaria,Hydrozoa,Diphyes antarctica,2.085,*,0.030177778,mW,1
1366,Cnidaria,Hydrozoa,Eperetmus typus,2.48,*,0.133375,mW,1
1367,Cnidaria,Hydrozoa,Eutonina indicans,1.13,*,0.064882222,mW,1
1368,Cnidaria,Hydrozoa,Gonionemus vertens,0.674,*,0.096892222,mW,1
1369,Cnidaria,Hydrozoa,Mitrocoma cellularia,8.61,*,0.267288889,mW,1
1370,Cnidaria,Hydrozoa,Nemopsis bachei,0.1184,*,0.016013673,mW,1
1371,Cnidaria,Hydrozoa,Pantachogon sp. A,0.54235,*,0.031855685,mW,1
1372,Cnidaria,Hydrozoa,Phialidium gregarium,0.41,*,0.022417778,mW,1
1373,Cnidaria,Hydrozoa,Sarsia princeps,0.395,*,0.012933333,mW,1
1374,Cnidaria,Hydrozoa,Solmissus incisus,25.5,*,0.76225025,mW,1
1375,Cnidaria,Hydrozoa,Stomotoca atra,0.558,*,0.040093333,mW,1
1376,Cnidaria,Hydrozoa,Tetrorchis erythrogaster,0.4369,*,0.006305,mW,1
1377,Cnidaria,Hydrozoa,Vampyrocrossota childressi,0.3499,*,0.006035556,mW,1
1378,Cnidaria,Scyphozoa,Aurelia aurita,58.3,*,1.293333333,mW,1
1379,Cnidaria,Scyphozoa,Aurelia aurita,1330,*,50.81474488,mW,1
1380,Cnidaria,Scyphozoa,Aurelia aurita,622,*,13.57247786,mW,1
1381,Cnidaria,Scyphozoa,Aurelia labiata,11.7,*,0.369677778,mW,1
1382,Cnidaria,Scyphozoa,Cyanea capillata,10.3,*,0.6208,mW,1
1383,Cnidaria,Scyphozoa,Cyanea capillata,146,*,2.493298778,mW,1
1384,Cnidaria,Scyphozoa,Nemopilema nomurai ,7800,*,961.5125,mW,1
1385,Cnidaria,Scyphozoa,Paraphyllina ransoni,0.26595,*,0.010885556,mW,1
1386,Cnidaria,Scyphozoa,Periphylla periphylla,22.93,*,0.428416667,mW,1
1387,Cnidaria,Scyphozoa,Poralia rufescens,298.25,*,0.689504292,mW,1
1388,Cnidaria,Scyphozoa,Rhizostoma pulmo,1213,*,155.4937771,mW,1
1389,Cnidaria,Scyphozoa,Stomolophus meleagris,1000,*,269.4444444,mW,1
